id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
73962,0.0,2013-06-03,Unicef,853,Government,34.91690142,-10.54960592,Kwa Mzee Miringa,0,Lake Nyasa,Senta 'A',Ruvuma,10,3,Mbinga,Ruanda,96,True,GeoData Consultants Ltd,VWC,Government,True,1994,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe
42283,0.0,2011-08-03,Government Of Tanzania,0,DWE,30.64564149,-1.29305462,Kwakapere,0,Lake Victoria,Mkazaga,Kagera,18,1,Karagwe,Isingiro,0,True,GeoData Consultants Ltd,WUG,Kaisho/Isingiro w,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
42806,0.0,2013-01-29,Sumbawanga Munici,1859,Sumbaw,31.66039158,-8.07883205,Shule Ya Sekondari Itwelele,0,Lake Rukwa,Rc,Rukwa,15,4,Sumbawanga Urban,Pito,0,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa pito,True,2009,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
645,2000.0,2011-03-10,Danida,1726,DANID,34.52636782,-9.76246033,none,0,Lake Nyasa,Ubela,Iringa,11,5,Ludewa,Mlangali,29,True,GeoData Consultants Ltd,VWC,DANIDA,False,1988,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe
45781,0.0,2011-07-12,Hesawa,0,HESAWA,31.73253354,-2.43633052,Mwinyi,0,Lake Victoria,Nyisanzi Store,Kagera,18,8,Chato,Kigongo,0,True,GeoData Consultants Ltd,WUA,,True,0,nira/tanira,nira/tanira,handpump,wua,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
38258,0.0,2011-03-15,Rc Church,2127,RC CHURCH,34.56130025,-9.3334347,Kwa Allen,0,Lake Nyasa,Ilovi,Iringa,11,4,Njombe,Igosi,50,True,GeoData Consultants Ltd,VWC,MAKOGA WATER SUPPLY,False,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
61113,0.0,2013-01-22,Tcrs,1441,TCRS,30.56622028,-5.73973595,Shuleni,0,Lake Tanganyika,Village Center,Rukwa,15,1,Mpanda,Mishamo,342,True,GeoData Consultants Ltd,Water authority,,True,1983,other,other,other,water authority,commercial,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
72970,0.0,2013-01-24,Kuwasa,807,KUWASA,29.69813464,-4.92443756,Kwa Mama Zabibu,0,Lake Tanganyika,Kibwe,Kigoma,16,4,Kigoma Urban,Kasingirima,0,False,GeoData Consultants Ltd,Other,Mradi wa maji wa kagera,True,1985,other,other,other,other,other,never pay,never pay,soft,good,dry,dry,lake,river/lake,surface,communal standpipe multiple,communal standpipe
6961,300.0,2013-01-17,Msf,1043,MSF,29.65744152,-4.72978414,Muungano,0,Lake Tanganyika,Kumsenga,Kigoma,16,3,Kigoma Rural,Mwamgongo,320,True,GeoData Consultants Ltd,WUG,Mwongolele water project,True,2003,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe
65808,30.0,2013-01-19,World Bank,376,SCOTT,38.04137829,-9.72426857,Kwa Mzee Njiga,0,Ruvuma / Southern Coast,Nambaluka,Lindi,80,43,Liwale,Mbaya,350,True,GeoData Consultants Ltd,VWC,,True,2011,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
58051,0.0,2012-10-22,Water Aid/sema,0,Water Aid/sema,32.38515789,-4.37983431,Kashishi Mashariki,0,Lake Tanganyika,Kashishi Mashariki,Tabora,14,4,Urambo,Kashishi,0,True,GeoData Consultants Ltd,WUG,,True,0,ksb,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe
63313,0.0,2013-03-18,Government Of Tanzania,1743,DWE,37.46903516,-3.25935511,Shule Ya Msingi Ruwa,0,Pangani,Kilai,Kilimanjaro,3,4,Moshi Rural,Kilema kaskazini,1,False,GeoData Consultants Ltd,Other,Mae pipeline,True,1972,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,other,other
3654,200.0,2011-03-06,Government Of Tanzania,197,TRUST,38.81675495,-5.25856923,Lunguza,0,Pangani,Mgambo,Tanga,4,3,Muheza,Mkuzi,50,True,GeoData Consultants Ltd,VWC,,False,2010,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
47965,0.0,2011-04-03,,0,,33.9062641,-9.28679895,Kinela,0,Lake Nyasa,Kinela,Mbeya,12,4,Rungwe,Lufilyo,0,True,GeoData Consultants Ltd,Parastatal,K,,0,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
21788,1000.0,2013-03-15,World Vision,1509,World Vision,37.90213015,-4.13498594,Kwa Nicholaus,0,Pangani,Dule,Kilimanjaro,3,3,Same,Mshewa,150,True,GeoData Consultants Ltd,Water authority,Kiindogolo,True,2011,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe
31842,0.0,2012-10-23,Rwssp,0,DWE,32.54442307,-4.01676839,Imaranota,0,Lake Tanganyika,Igolola,Shinyanga,17,3,Kahama,Ukune,0,True,GeoData Consultants Ltd,,,True,0,other,other,other,wug,user-group,unknown,unknown,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,other,other
2315,750.0,2013-01-31,Anglican Church,1288,DWE,30.04622289,-4.71388343,Cmc Church,0,Lake Tanganyika,Kwitangi,Kigoma,16,2,Kasulu,Muzye,120,True,GeoData Consultants Ltd,Water authority,Kisuma,True,2005,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
35144,0.0,2012-11-04,Private,0,Government,33.88176741,-3.17616124,Kwa Mihangwa,0,Lake Victoria,Kabale,Shinyanga,17,2,Maswa,Sukuma,0,True,GeoData Consultants Ltd,Water authority,Maswa water supply,False,0,gravity,gravity,gravity,private operator,commercial,pay monthly,monthly,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe
74213,0.0,2011-03-19,World Bank,0,Rhobi,36.85394732,-6.01164185,Kwa Mzengi,0,Wami / Ruvu,,Dodoma,1,3,Kongwa,Pandambili,0,True,GeoData Consultants Ltd,VWC,Kite,False,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
62492,0.0,2012-11-08,Hesawa,1266,DWE,33.87231973,-2.00463945,Kwa Nasoro,0,Lake Victoria,Nyasura A,Mara,20,4,Bunda,Bunda,180,True,GeoData Consultants Ltd,WUG,,False,1994,other,other,other,wug,user-group,unknown,unknown,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other
24352,100.0,2011-03-04,Government Of Tanzania,490,DWE,38.30024113,-4.4293794,Mama Juli,0,Pangani,Minazini,Tanga,4,1,Lushoto,Mnazi,1,True,GeoData Consultants Ltd,VWC,Makiyui stream,True,1973,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,other,other
49025,0.0,2011-03-16,Nethe,172,DWE,37.61368202,-7.46292505,Kwa Mzee Masharubu,0,Wami / Ruvu,Changani,Morogoro,5,2,Morogoro Rural,Kisaki,1500,True,GeoData Consultants Ltd,VWC,,True,1985,swn 80,swn 80,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
45655,0.0,2013-02-11,Unicef,1284,DWE,30.86317257,-3.18944133,Kwa Jonasi Adrea,0,Lake Tanganyika,Kamkere,Kigoma,16,1,Kibondo,Muhange,200,True,GeoData Consultants Ltd,VWC,,False,1994,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,improved spring,improved spring
55584,0.0,2012-10-24,Government Of Tanzania,0,DWE,0.0,-2e-08,Butalaseko,0,Lake Victoria,Pilingito,Shinyanga,17,1,Bariadi,Mwadobana,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump
29761,10.0,2013-05-03,Germany Republi,1338,CES,37.16843173,-3.23346625,Area Three Namba 28,0,Pangani,Tewera,Kilimanjaro,3,5,Hai,Masama Magharibi,63,True,GeoData Consultants Ltd,Water Board,Losaa Kia water supply,True,1999,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
64337,0.0,2011-03-22,Government Of Tanzania,432,RWE,38.07415506,-4.64165571,Kwa Habibu,0,Pangani,Kijijini,Tanga,4,2,Korogwe,Mkomazi,100,True,GeoData Consultants Ltd,VWC,Mkomazi water supply,False,1976,ksb,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
12297,0.0,2011-07-25,Hesawa,0,HESAWA,32.90458858,-2.68820023,Kaseni B,0,Lake Victoria,Kasemi,Mwanza,19,7,Missungwi,Idetemya,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay annually,annually,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
16755,0.0,2013-01-15,World Bank,0,Pet Corporation Ltd,32.70010307,-3.49087035,Kwa Mlola Mwanzogolo,0,Lake Victoria,Malito,Shinyanga,17,3,Kahama,Bulige,0,True,GeoData Consultants Ltd,,Lake Victoria pipe scheme,True,0,gravity,gravity,gravity,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lake,river/lake,surface,other,other
7607,0.0,2011-08-12,Kkkt,0,KKKT,33.05536253,-8.87799722,Williad Tayari,0,Lake Rukwa,Iwenje,Mbeya,12,6,Mbozi,Isansa,0,False,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump
45077,0.0,2013-03-27,Government Of Tanzania,1656,DWE,36.56611187,-3.28750349,Losilo,0,Pangani,Losilo,Arusha,2,2,Arusha Rural,Mwandeti,200,True,GeoData Consultants Ltd,VWC,Olkokola mwandet pipe line,True,1989,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
49878,0.0,2011-07-30,,0,,33.67105491,-9.36528368,Kwa Mzee Katubike,0,Lake Nyasa,Lugombo,Mbeya,12,4,Rungwe,Ilima,0,True,GeoData Consultants Ltd,VWC,M,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
32410,0.0,2013-01-27,District Council,356,District water department,38.93077429,-10.26619049,Mpilipili,0,Ruvuma / Southern Coast,Njenga,Lindi,80,53,Ruangwa,Chienjere,560,True,GeoData Consultants Ltd,VWC,,False,1989,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
40717,0.0,2012-10-13,Wateraid,0,DWE,33.17210071,-3.96847896,Usigiri,0,Internal,Usigiri,Tabora,14,1,Nzega,Nata,0,True,GeoData Consultants Ltd,VWC,,False,0,afridev,afridev,handpump,vwc,user-group,pay when scheme fails,on failure,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
64889,0.0,2011-03-18,Amref,-13,AMREF,39.24488701,-7.528591599999999,Umasaini Kengeni,0,Rufiji,Kengeni,Pwani,6,4,Mkuranga,Magawa,150,True,GeoData Consultants Ltd,VWC,,False,2007,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump
16558,0.0,2011-04-18,,0,,33.704690500000005,-8.743335,Kwa Mzee Danieli,0,Rufiji,Magereza,Mbeya,12,7,Mbarali,Mahongole,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,hand pump,hand pump
68557,1000.0,2011-03-16,Mkinga  Distric Cou,0,DWE,38.80187406,-4.86086961,Darajani,0,Pangani,Darajani,Tanga,4,8,Mkinga,Maramba,100,True,GeoData Consultants Ltd,VWC,Maramba gravity spri,True,1971,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
39601,0.0,2013-01-29,,1567,,34.88698256,-5.03495353,Ihonde,0,Internal,Kinyaghagaha,Singida,13,2,Singida Rural,Ntuntu,1,,GeoData Consultants Ltd,VWC,,,1980,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,other,other
35727,0.0,2011-02-26,Ba As,2177,Villa,34.65088346,-9.64022994,none,0,Lake Nyasa,Mchabachaba,Iringa,11,4,Njombe,Matola,30,True,GeoData Consultants Ltd,VWC,Nyalik,False,2003,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
56365,0.0,2011-03-13,Roman,1469,Roman,34.69591882,-9.8067261,none,0,Lake Nyasa,Lupefu,Iringa,11,5,Ludewa,Lugarawa,1500,True,GeoData Consultants Ltd,VWC,Lugara,False,2008,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe
57163,0.0,2013-02-08,Cocern,1309,TWESA,30.7286321,-3.41968746,Kirogorogo,0,Lake Tanganyika,Nakisenga A,Kigoma,16,1,Kibondo,Gwanumpu,120,True,GeoData Consultants Ltd,VWC,,False,2013,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
12248,0.0,2011-03-19,World Bank,0,Rhobi,36.88935908,-5.95996625,Kwa Mahimbo,0,Wami / Ruvu,,Dodoma,1,3,Kongwa,Pandambili,0,True,GeoData Consultants Ltd,VWC,Kite,False,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
55740,0.0,2012-10-03,Dwsp,0,DWSP,32.81093801,-3.34279173,Mkombizi,0,Lake Victoria,Ibulalindi,Shinyanga,17,3,Shinyanga Rural,Salawe,0,True,GeoData Consultants Ltd,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump
13680,0.0,2011-04-03,,0,,33.88873342,-9.28940386,Mpulu,0,Lake Nyasa,Mpulu,Mbeya,12,4,Rungwe,Lufilyo,0,True,GeoData Consultants Ltd,Parastatal,K,,0,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
1812,0.0,2011-08-12,Dads,0,DADS,32.95534304,-8.90713302,Isowezia Shuleni,0,Lake Rukwa,Isowezia,Mbeya,12,6,Mbozi,Isansa,0,False,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
43684,0.0,2011-03-20,Government Of Tanzania,1174,RWE,38.42997295,-5.00425726,Shuleni,0,Pangani,Madukani,Tanga,4,2,Korogwe,Dindira,750,True,GeoData Consultants Ltd,VWC,Sakale water supply,False,1971,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe
68357,200.0,2013-01-16,Hesawa,1211,DWE,33.61129143,-2.12743151,Kwa Masige Muyenge,0,Lake Victoria,Nyaberangi,Mara,20,4,Bunda,Butimba,300,True,GeoData Consultants Ltd,WUG,,False,1995,other,other,other,wug,user-group,pay monthly,monthly,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
9198,0.0,2012-10-27,Government Of Tanzania,0,Government,33.87791311,-4.27721097,Line Pilice,0,Internal,Line Police,Tabora,14,2,Igunga,Igunga,0,False,GeoData Consultants Ltd,Water authority,,False,0,gravity,gravity,gravity,water authority,commercial,never pay,never pay,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe
8140,0.0,2011-07-08,Kkkt,0,KKKT,33.01860973,-9.24457703,Mpanda Shuleni,0,Lake Nyasa,Mpanda Kati,Mbeya,12,6,Mbozi,Nyimbili,0,True,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other
24466,0.0,2013-02-27,Government Of Tanzania,1299,DWE,37.41879154,-3.31205828,Kwa Ernest Foyi,0,Pangani,Mamrosa,Kilimanjaro,3,4,Moshi Rural,Kimochi,55,True,GeoData Consultants Ltd,VWC,Komaka mandaka,True,1974,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
72060,0.0,2012-10-17,Halmashauri Ya Wilaya Sikonge,0,Halmashauri ya wilaya sikonge,33.27034191,-6.80534287,Kwa Rajabu Haruna,0,Lake Rukwa,Kapumpa,Tabora,14,5,Sikonge,Kitunda,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
5953,20.0,2013-01-21,Lga,473,LGA,39.35149214,-10.92574058,Elimu,0,Ruvuma / Southern Coast,Elimu,Mtwara,90,33,Newala,Makote,430,True,GeoData Consultants Ltd,VWC,Mkunya/MWS,False,1987,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,coloured,colored,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
50321,25.0,2011-07-13,Ru,1532,RUDE,31.04470142,-7.5071746,Neema,0,Lake Tanganyika,Posta,Rukwa,15,3,Nkasi,Namanyere,1,True,GeoData Consultants Ltd,VWC,,False,1992,other,other,other,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,other,other
20714,500.0,2011-08-04,Unicef,1615,DWE,34.62277869,-9.049746800000001,Kwa George Nyachi,0,Rufiji,Igombatavangu,Iringa,11,4,Njombe,Usuka,45,True,GeoData Consultants Ltd,WUA,wanging'ombe water supply s,True,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
30359,0.0,2011-07-18,Swedish,0,Sengerema Water Department,32.70472236,-2.89951422,Not Known,0,Lake Victoria,Lubungo Center,Mwanza,19,5,Sengerema,Igalula,0,True,GeoData Consultants Ltd,VWC,None,True,0,other - swn 81,other handpump,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
22214,0.0,2013-01-16,,1626,,34.98625648,-4.65127795,Philemon,0,Internal,Azimio,Singida,13,2,Singida Rural,Maghojea,1,True,GeoData Consultants Ltd,VWC,M,,2000,submersible,submersible,submersible,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
12966,250.0,2013-02-09,Oxfam,1203,OXFAM,29.91382876,-4.54650027,Kwa Petro,0,Lake Tanganyika,Mwanga A,Kigoma,16,2,Kasulu,Janda,310,True,GeoData Consultants Ltd,Water authority,Mwangwe,True,1999,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
72039,0.0,2013-02-18,Jeica,1547,Jeica,35.5126013,-4.46192547,Twai Matre,0,Internal,Mara B,Manyara,21,2,Hanang,Measkron,243,True,GeoData Consultants Ltd,VWC,Kijiji,True,2003,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,dry,dry,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe
37549,0.0,2013-03-06,Lamp,990,DWE,35.72632166,-3.71466822,Kwa Jumanne,0,Internal,Mayoka C,Manyara,21,1,Babati,Magara,205,True,GeoData Consultants Ltd,VWC,,True,2002,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe
35741,100.0,2013-02-16,World Bank,1491,Water board,36.44310557,-5.53887423,Chechenza A,0,Wami / Ruvu,Chechenza,Manyara,21,5,Kiteto,Engusero,400,True,GeoData Consultants Ltd,Water Board,World banks water supplying,True,2002,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
45777,0.0,2011-08-06,Norad,752,DWE,31.08183593,-8.36234844,Kwa Mzee Dismas Sokotela,0,Lake Tanganyika,Samazi,Rukwa,15,2,Sumbawanga Rural,Kasanga,1000,True,GeoData Consultants Ltd,VWC,,False,1991,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
7116,0.0,2011-07-12,,0,,33.80508085,-9.1306743,Kwa Mzee Kaiga,0,Lake Nyasa,Ipuguso,Mbeya,12,4,Rungwe,Lutebe,0,True,GeoData Consultants Ltd,VWC,N,,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
31142,50.0,2013-03-21,0,8,0,39.19546608,-6.89357116,Kwa Pazi,0,Wami / Ruvu,Mtaa Wa Kitunda Kati,Dar es Salaam,7,2,Ilala,Kitunda,350,,GeoData Consultants Ltd,WUG,J,False,2000,submersible,submersible,submersible,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
